228 118 65426 16444 1228 1728
210 150 65427 16404 1160 1616
229 136 65427 16624 1144 1512
494 145 65420 16456 1184 1604
199 150 65434 16480 1156 1504
205 144 65423 16480 1172 1452
225 123 65428 16488 1224 1520
235 127 65432 16436 1148 1488
234 115 65439 16460 1148 1284
213 139 65429 16428 1144 1364
261 96 65384 16432 1164 1576
241 113 65450 16388 1144 1532
239 153 65439 16416 1220 1744
246 141 65417 16528 1168 1452
208 129 65458 16444 1188 1488
210 143 65416 16504 1216 1608
207 163 65420 16424 1196 1584
206 93 65437 16428 1196 1284
189 137 65418 16488 1168 1564
225 154 65416 16416 1168 1552
241 104 65416 16396 1192 1728
211 136 65387 16440 1128 1476
244 158 65423 16440 1232 1656
507 106 65399 16420 1216 1504
225 132 65379 16408 1176 1540
211 116 65408 16400 1144 1560
1 128 65427 16396 1124 1728
215 154 65414 16424 1156 1520
205 108 65414 16460 1144 1564
211 97 65395 16436 1136 1604
224 160 65385 16416 1140 1564
233 162 65426 16396 1108 1584
217 136 65435 16408 1176 1492
204 118 65415 16464 1112 1480
253 140 65428 16408 1136 1764
224 135 65399 16432 1176 1316
265 149 65409 16392 1156 1536
222 155 65409 16484 1128 1320
236 137 65426 16448 1156 1460
247 168 65389 16468 1156 1568
231 126 65428 16448 1160 1536
241 132 65413 16452 1224 1612
197 136 65401 16484 1116 1584
230 140 65395 16464 1264 1644
205 131 65408 16448 1140 1620
243 146 65407 16452 1116 1500
249 119 65412 16424 1172 1468
214 126 65374 16416 1160 1780
225 169 65421 16128 1108 1568
233 145 65448 16372 1144 1560
234 119 65423 16444 1164 1580
237 132 65401 16128 1132 1568
218 135 65376 16468 1208 1560
4 134 65402 16476 1228 1508
247 133 65432 16412 1140 1588
502 138 65413 16344 1172 1416
239 132 65425 16468 1152 1552
227 146 65413 16440 1216 1580
225 122 65418 16156 1120 1640
242 144 65439 16444 1184 1584
246 96 65406 16496 1172 1592
192 124 65406 16476 1096 1620
222 146 65430 16408 1204 1516
242 114 65400 16412 1156 1544
226 109 65421 16472 1200 1528
226 166 65439 16424 1192 1524
194 168 65424 16448 1184 1528
257 143 65429 16388 1156 1532
249 147 65400 16468 1228 1780
238 136 65435 16460 1156 1620
245 124 65417 16432 1172 1604
231 109 65413 16408 1172 1464
221 120 65401 16480 1216 1636
231 148 65421 16416 1220 1528
249 160 65418 16436 1140 1312
511 149 65407 16416 1184 1528
207 129 65395 16440 1188 1560
233 123 65400 16460 1176 1484
220 129 65427 16416 1152 1540
216 159 65430 16484 1192 1528
226 140 65432 16404 1212 1504
506 146 65443 16504 1204 1660
247 101 65406 16452 1156 1556
217 135 65429 16420 1180 1764
249 187 65442 16408 1236 1588
252 144 65437 16436 1196 1636
238 146 65435 16488 1152 1596
224 104 65442 16448 1140 1428
216 110 65416 16492 1200 1532
220 160 65394 16512 1196 1324
262 149 65437 16488 1148 1620
249 142 65438 16172 1200 1604
263 165 65431 16404 1244 1624
217 179 65454 16440 1220 1544
209 114 65417 16472 1196 1476
179 84 65412 16492 1184 1464
243 111 65424 16520 1212 1476
8 138 65415 16428 1232 1456
263 183 65434 16412 1212 1636
230 159 65414 16136 1196 1616
193 131 65432 16328 1148 1776
207 105 65425 16452 1152 1484
234 108 65429 16480 1184 1508
203 112 65374 16480 1168 1528
242 130 65394 16488 1104 1520
206 162 65399 16476 1184 1600
258 182 65420 16492 1232 1640
215 155 65423 16444 1212 1604
208 119 65428 16456 1160 1504
247 122 65409 16476 1124 1744
233 104 65393 16460 1180 1536
246 162 65391 16460 1180 1732
238 149 65415 16452 1160 1660
240 175 65439 16624 1176 1552
217 153 65403 16432 1116 1616
211 112 65414 16380 1180 1588
196 115 65453 16456 1204 1564
227 119 65387 16448 1140 1464
218 125 65410 16496 1144 1540
219 135 65400 16532 1192 1524
242 144 65410 16452 1164 1304
233 154 65463 16424 1244 1512
229 137 65477 16408 1160 1596
202 114 65415 16452 1216 1572
224 122 65400 16456 1160 1608
225 157 65399 16416 1160 1548
213 154 65417 16436 1172 1592
210 151 65428 16432 1176 1496
215 153 65440 16432 1180 1632
184 128 65420 16464 1156 1552
221 145 65406 16420 1172 1564
250 141 65393 16480 1120 1496
254 98 65431 16460 1160 1468
222 117 65411 16464 1216 1440
214 149 65416 16392 1120 1556
238 129 65408 16412 1184 1288
192 140 65431 16460 1144 1528
181 150 65404 16468 1188 1512
498 175 65434 16424 1196 1600
213 168 65414 16464 1172 1540
248 119 65409 16468 1164 1612
